卡BIN,银行名称,卡种
4518115496,工商银行,1
955957139,农业银行,0
622925,大同银行,0
622922,兴业银行,1
622921,河北银行股份有限公司,1
955954074,农业银行,0
955954075,农业银行,0
535918010,农业银行,2
535918011,农业银行,2
512431,宁波银行,1
525745,中国银行,2
535918013,农业银行,2
525746,中国银行,2
955967382,农业银行,0
63535917326,农业银行,2
63535917327,农业银行,2
622916,中信银行,1
621056802,交通银行,0
622919,中信银行,1
621056803,交通银行,0
622918,中信银行,1
622913,工商银行,1
622912,工商银行,1
512425,招商银行,0
955954076,农业银行,0
955954077,农业银行,0
622911,工商银行,1
544033,建设银行,2
622910,工商银行,1
955954079,农业银行,0
955980350,农业银行,0
535919350,农业银行,2
625186,北京农商行,1
63491028118,农业银行,2
63491028117,农业银行,2
63491028114,农业银行,2
955966061,农业银行,0
63491028113,农业银行,2
955966060,农业银行,0
622909,兴业银行,0
63491028116,农业银行,2
63491028115,农业银行,2
622906,湖南农村信用社联合社,1
622908,兴业银行,0
491025160,农业银行,2
491025161,农业银行,2
491025162,农业银行,2
955972074,农业银行,0
491025163,农业银行,2
955972075,农业银行,0
955972076,农业银行,0
622128,深圳农村商业银行,0
955972077,农业银行,0
622127,福建省农村信用社联合社,0
955972079,农业银行,0
955960079,农业银行,0
622126,阜新银行股份有限公司,0
955972060,农业银行,0
955960074,农业银行,0
955960076,农业银行,0
491025139,农业银行,2
955960075,农业银行,0
955960077,农业银行,0
535912146,农业银行,2
535912145,农业银行,2
453242479,建设银行,2
535912143,农业银行,2
535912142,农业银行,2
535912141,农业银行,2
535912140,农业银行,2
955972061,农业银行,0
622848007,农业银行,0
955972062,农业银行,0
453242476,建设银行,2
453242475,建设银行,2
621275171,浦发银行,0
453242478,建设银行,2
453242477,建设银行,2
955963117,农业银行,0
955963118,农业银行,0
955963115,农业银行,0
955963116,农业银行,0
421393,民生银行,0
535912139,农业银行,2
955963113,农业银行,0
955963114,农业银行,0
491025146,农业银行,2
955951139,农业银行,0
63491021160,农业银行,2
63491021163,农业银行,2
491025142,农业银行,2
491025143,农业银行,2
63491021161,农业银行,2
63491021162,农业银行,2
491025145,农业银行,2
62319563,浙江泰顺温银村镇银行,0
955973382,农业银行,0
491025140,农业银行,2
491025141,农业银行,2
621275161,浦发银行,0
955985350,农业银行,0
955959062,农业银行,0
955959061,农业银行,0
955959060,农业银行,0
955961382,农业银行,0
491025117,农业银行,2
491025118,农业银行,2
62361025,陕西洛南阳光村镇银行,0
491025113,农业银行,2
6221514010,邮储银行,0
491025114,农业银行,2
491025115,农业银行,2
491025116,农业银行,2
535912163,农业银行,2
535912162,农业银行,2
535912161,农业银行,2
535912160,农业银行,2
621275151,浦发银行,0
955959079,农业银行,0
955984013,农业银行,0
955959077,农业银行,0
955984011,农业银行,0
955959076,农业银行,0
955984010,农业银行,0
955959075,农业银行,0
955959074,农业银行,0
453242481,建设银行,2
453242480,建设银行,2
955960061,农业银行,0
955960060,农业银行,0
955960062,农业银行,0
63535911241,农业银行,2
955951117,农业银行,0
63535911240,农业银行,2
955951116,农业银行,0
955951115,农业银行,0
955951114,农业银行,0
955951118,农业银行,0
453242483,建设银行,2
453242482,建设银行,2
453242484,建设银行,2
955951113,农业银行,0
621275141,浦发银行,0
622576,招商银行,1
623510,海口联合农村商业银行,0
955959142,农业银行,0
955960139,农业银行,0
535915160,农业银行,2
955959141,农业银行,0
535915161,农业银行,2
955959140,农业银行,0
535915162,农业银行,2
535915163,农业银行,2
955981079,农业银行,0
621356001,中国银行,0
621356002,中国银行,0
491028145,农业银行,2
491028146,农业银行,2
491028143,农业银行,2
623509,长治银行股份有限公司,0
491028141,农业银行,2
623506,广发银行,0
491028142,农业银行,2
955996139,农业银行,0
621356009,中国银行,0
491028140,农业银行,2
623505,三门峡银行,0
621356007,中国银行,0
621356008,中国银行,0
955960146,农业银行,0
955960145,农业银行,0
623501,河北省农村信用社联合社,0
955981060,农业银行,0
63535911326,农业银行,2
955981062,农业银行,0
63535911327,农业银行,2
955981061,农业银行,0
955960140,农业银行,0
955960142,农业银行,0
955960141,农业银行,0
955960143,农业银行,0
955999146,农业银行,0
955999145,农业银行,0
491020240,农业银行,2
491020241,农业银行,2
955999143,农业银行,0
955970327,农业银行,0
955970326,农业银行,0
62326519,贵阳银行股份有限公司,0
955956013,农业银行,0
955957350,农业银行,0
955968008,农业银行,0
525998,浦发银行,1
955968009,农业银行,0
53591,农业银行,2
955968005,农业银行,0
622632260,华夏银行,0
622632261,华夏银行,0
62326502,黑龙江省农村信用社联合社,0
955999163,农业银行,0
955999162,农业银行,0
558895,建设银行,1
955999161,农业银行,0
955999160,农业银行,0
955957327,农业银行,0
955957326,农业银行,0
62326510,汉口银行,0
535918241,农业银行,2
62326513,杭州商业银行,0
62326515,承德银行,0
535918240,农业银行,2
63535916240,农业银行,2
63535916241,农业银行,2
968809,中信银行,0
968808,中信银行,0
621678101,浙江遂昌富民村镇银行,0
968807,中信银行,0
955956009,农业银行,0
955956005,农业银行,0
544243,农业银行,1
955956008,农业银行,0
623533,烟台市商业银行,0
622200,工商银行,0
622203,工商银行,0
623531,郑州银行股份有限公司,0
622202,工商银行,0
955959163,农业银行,0
955959162,农业银行,0
955959161,农业银行,0
955959160,农业银行,0
621699005,辽宁黑山锦行村镇银行,0
621699003,辽宁义县祥和村镇银行,0
621699001,锦州北镇益民村镇银行,0
955972146,农业银行,0
955996113,农业银行,0
955996114,农业银行,0
491028163,农业银行,2
955972140,农业银行,0
955972141,农业银行,0
623529,中国银联支付标记,0
491028161,农业银行,2
955972142,农业银行,0
955996117,农业银行,0
623526,中德住房储蓄银行,0
491028162,农业银行,2
955972143,农业银行,0
955996118,农业银行,0
955996115,农业银行,0
491028160,农业银行,2
955972145,农业银行,0
955996116,农业银行,0
955984113,农业银行,0
623523,邯郸市商业银行,0
623521,苏州银行股份有限公司,0
955960160,农业银行,0
955960162,农业银行,0
955960161,农业银行,0
955984118,农业银行,0
522964,交通银行,1
955984117,农业银行,0
955960163,农业银行,0
955984116,农业银行,0
955984115,农业银行,0
955984114,农业银行,0
63491021240,农业银行,2
955972139,农业银行,0
63491021241,农业银行,2
623518,龙江银行,0
623516,黑龙江省农村信用社联合社,0
623513,韩亚银行（中国）,0
955981075,农业银行,0
955959146,农业银行,0
623511,焦作市商业银行,0
955981074,农业银行,0
955959145,农业银行,0
621687001,灵宝融丰村镇银行,0
955981077,农业银行,0
955981076,农业银行,0
955959143,农业银行,0
955968145,农业银行,0
955968146,农业银行,0
95510065,邮储银行,0
955968141,农业银行,0
955989060,农业银行,0
955968142,农业银行,0
955968143,农业银行,0
955989062,农业银行,0
622843007,农业银行,0
955989061,农业银行,0
622630159,华夏银行,0
955968140,农业银行,0
622630151,华夏银行,0
9551006039,邮储银行,0
955977075,农业银行,0
955977076,农业银行,0
955977074,农业银行,0
9551006034,邮储银行,0
955968116,农业银行,0
9551006033,邮储银行,0
955968117,农业银行,0
9551006032,邮储银行,0
63535916350,农业银行,2
955968118,农业银行,0
9551006031,邮储银行,0
9551006038,邮储银行,0
9551006037,邮储银行,0
955968113,农业银行,0
9551006036,邮储银行,0
955968114,农业银行,0
9551006035,邮储银行,0
955968115,农业银行,0
63535915013,农业银行,2
63535915011,农业银行,2
63535915010,农业银行,2
9551006030,邮储银行,0
955977079,农业银行,0
955977077,农业银行,0
955956139,农业银行,0
955956141,农业银行,0
955977060,农业银行,0
955956140,农业银行,0
955977061,农业银行,0
955956143,农业银行,0
955956142,农业银行,0
548738,兴业银行,1
955977062,农业银行,0
9551006045,邮储银行,0
9551006044,邮储银行,0
9551006043,邮储银行,0
9551006042,邮储银行,0
9551006049,邮储银行,0
9551006048,邮储银行,0
9551006047,邮储银行,0
9551006046,邮储银行,0
491020139,农业银行,2
63491027146,农业银行,2
63491027145,农业银行,2
9551006041,邮储银行,0
63491027142,农业银行,2
9551006040,邮储银行,0
63491027141,农业银行,2
63491027143,农业银行,2
63491027140,农业银行,2
955956145,农业银行,0
955956146,农业银行,0
434910,交通银行,1
9551006019,邮储银行,0
9551006018,邮储银行,0
9551006017,邮储银行,0
955978382,农业银行,0
9551006012,邮储银行,0
9551006011,邮储银行,0
9551006010,邮储银行,0
9551006016,邮储银行,0
9551006015,邮储银行,0
621678210,安顺西秀富民村镇银行,0
9551006014,邮储银行,0
6221503910,邮储银行,0
9551006013,邮储银行,0
955965060,农业银行,0
621678213,开阳富民村镇银行,0
621678211,贵阳南明富民村镇银行,0
621678212,遵义红花岗富民村镇银行,0
62536602,龙江银行股份有限公司,1
62536601,青海银行,1
955965062,农业银行,0
621678215,福泉富民村镇银行,0
955965061,农业银行,0
955956116,农业银行,0
955956115,农业银行,0
955956118,农业银行,0
955956117,农业银行,0
955991326,农业银行,0
491028062,农业银行,2
491028060,农业银行,2
955956114,农业银行,0
491028061,农业银行,2
955956113,农业银行,0
9551006029,邮储银行,0
9551006028,邮储银行,0
955991327,农业银行,0
9551006023,邮储银行,0
955965079,农业银行,0
491020114,农业银行,2
62275335,中国银行,2
9551006022,邮储银行,0
491020115,农业银行,2
9551006021,邮储银行,0
955965077,农业银行,0
9551006020,邮储银行,0
955965076,农业银行,0
491020113,农业银行,2
9551006027,邮储银行,0
491020118,农业银行,2
9551006026,邮储银行,0
9551006025,邮储银行,0
491020116,农业银行,2
9551006024,邮储银行,0
491020117,农业银行,2
955965075,农业银行,0
63491027163,农业银行,2
955965074,农业银行,0
491028079,农业银行,2
491028077,农业银行,2
63491027160,农业银行,2
491028075,农业银行,2
63491027162,农业银行,2
491028076,农业银行,2
63491027161,农业银行,2
491028074,农业银行,2
955990005,农业银行,0
622322,广东顺德农村商业银行,0
622324,江苏农信社,0
621092011,安徽寿县联合村镇银行,0
622323,常熟农村商业银行,0
621092012,安徽霍邱联合村镇银行,0
955984241,农业银行,0
955984240,农业银行,0
621092010,安徽霍山联合村镇银行,0
535917241,农业银行,2
622320,山东省农村信用社联合社,0
535917240,农业银行,2
63535919382,农业银行,2
955951326,农业银行,0
955951327,农业银行,0
622318,宁波银行,1
621092008,浙江绍兴县联合村镇银行,0
622315,包商银行,1
621092006,浙江义乌联合村镇银行,0
621092004,浙江常山联合村镇银行,0
622316,宁波银行,0
621092005,浙江温岭联合村镇银行,0
622311,齐商银行,0
566666,盛京银行,0
622312,徐州市郊农村信用合作联社,0
519412,农业银行,1
519413,农业银行,1
6221503940,邮储银行,0
955950005,农业银行,0
621678202,大方富民村镇银行,0
621678203,纳雍富民村镇银行,0
621678201,金沙富民村镇银行,0
955996241,农业银行,0
955950009,农业银行,0
621678206,赫章富民村镇银行,0
621678207,贵阳观山湖富民村镇银行,0
955996240,农业银行,0
955950008,农业银行,0
621678205,威宁富民村镇银行,0
622308,昆明商业银行,0
622307,九江银行股份有限公司,0
621678208,贵阳乌当富民村镇银行,0
622309,浙商银行,0
621678209,贵阳云岩富民村镇银行,0
491029382,农业银行,2
622303,南京银行,1
622305,南京银行,0
622302,广东省农村信用社联合社,0
6221503950,邮储银行,0
622301,湖州市商业银行,0
405512,交通银行,0
62109631,邮储银行,0
62109630,邮储银行,0
63535918074,农业银行,2
63535918076,农业银行,2
63535918075,农业银行,2
63535918077,农业银行,2
63535918079,农业银行,2
63491022241,农业银行,2
63491022240,农业银行,2
6.25E+11,工商银行,1
955972240,农业银行,0
955972241,农业银行,0
491029350,农业银行,2
623623,厦门国际银行,0
63535910117,农业银行,2
63535918061,农业银行,2
63535910116,农业银行,2
63535918060,农业银行,2
63535910118,农业银行,2
63535918062,农业银行,2
63535910113,农业银行,2
63535910115,农业银行,2
63535910114,农业银行,2
621275341,浦发银行,0
6221503970,邮储银行,0
955959241,农业银行,0
955959240,农业银行,0
63535918010,农业银行,2
63535918011,农业银行,2
63535918013,农业银行,2
491028008,农业银行,2
491028009,农业银行,2
434062,建设银行,0
491028005,农业银行,2
434061,建设银行,0
621275331,浦发银行,0
62249802,秦皇岛银行股份有限公司,0
955981163,农业银行,0
955981162,农业银行,0
62249804,沧州银行股份有限公司,0
955981161,农业银行,0
955981160,农业银行,0
374738,工商银行,1
374739,工商银行,1
955960241,农业银行,0
532450,建设银行,1
955960240,农业银行,0
63535918005,农业银行,2
63535918007,农业银行,2
63535918009,农业银行,2
63535918008,农业银行,2
491028013,农业银行,2
491028011,农业银行,2
621275321,浦发银行,0
491028010,农业银行,2
90010516,临沂农信,0
6221503990,邮储银行,0
955999326,农业银行,0
621275311,浦发银行,0
90010509,泰安农信,0
621392887,南阳村镇银行,0
955999327,农业银行,0
955981141,农业银行,0
90010502,青岛农信,0
621092002,浙江嘉善联合村镇银行,0
620550,中国银行,3
955981140,农业银行,0
90010501,济南农信,0
621092003,浙江乐清联合村镇银行,0
955981143,农业银行,0
955981142,农业银行,0
535914160,农业银行,2
63535919350,农业银行,2
535914161,农业银行,2
535914162,农业银行,2
535914163,农业银行,2
955981145,农业银行,0
955981146,农业银行,0
955998005,农业银行,0
955998003,农业银行,0
491029326,农业银行,2
491029327,农业银行,2
621275301,浦发银行,0
955998002,农业银行,0
621355001,昆山鹿城村镇银行,0
955998009,农业银行,0
955998007,农业银行,0
955998008,农业银行,0
621075,漯河银行,0
621074,朝阳银行,0
621077,华侨银行（中国）,0
621076,江苏银行,0
621071,平顶山银行股份有限公司,0
63491024005,农业银行,2
621070,自贡市商业银行,0
955963382,农业银行,0
621073,天津滨海农村商业银行,0
621072,新韩银行,0
63535910163,农业银行,2
63491024009,农业银行,2
63491024008,农业银行,2
63535910160,农业银行,2
63535910162,农业银行,2
535914139,农业银行,2
63535910161,农业银行,2
955987350,农业银行,0
955950074,农业银行,0
62314061,大洼恒丰村镇银行,0
955950075,农业银行,0
62314062,盘山安泰村镇银行股份有限公司,0
955950079,农业银行,0
955950076,农业银行,0
955950077,农业银行,0
621068,北京农村商业银行,0
622398,葫芦岛市商业银行,0
621067,北京农村商业银行,0
955986013,农业银行,0
517636,民生银行,1
955986011,农业银行,0
621063,花旗银行(中国)有限公司,0
622394,镇江市商业银行,0
955986010,农业银行,0
621066,北京农村商业银行,0
622396,湖北银行,0
621065,青海省农村信用社联合社,0
63491025327,农业银行,2
535914140,农业银行,2
622391,潍坊银行,0
621060,友利银行(中国)有限公司,0
535914141,农业银行,2
955962062,农业银行,0
535914142,农业银行,2
621062,花旗银行(中国)有限公司,0
622393,厦门银行股份有限公司,0
535914143,农业银行,2
622392,泸州市商业银行,0
621061,甘肃省农村信用社联合社,0
535914145,农业银行,2
535914146,农业银行,2
63491025326,农业银行,2
955953116,农业银行,0
955953117,农业银行,0
550213,工商银行,1
955953118,农业银行,0
955962061,农业银行,0
955962060,农业银行,0
955953113,农业银行,0
955993139,农业银行,0
955953114,农业银行,0
955953115,农业银行,0
410062,招商银行,0
955986005,农业银行,0
622388,福建海峡银行股份有限公司,0
621057,凉山州商业银行,0
62163117,青岛城阳珠江村镇银行,0
62163116,海阳珠江村镇银行,0
62163119,启东珠江村镇银行,0
622389,宁波鄞州农村合作银行,1
621058,浙江省农村信用社联合社,0
62163118,安阳珠江村镇银行,0
622384,恒丰银行,0
621053,福建建瓯瑞狮村镇银行,0
62163113,北京门头沟珠江村镇银行,0
622383,大连银行,1
62163112,吉安吉州珠江村镇银行,0
62163115,莱州珠江村镇银行,0
622385,大连银行,1
62163114,福山珠江村镇银行,0
955986009,农业银行,0
955986008,农业银行,0
535914113,农业银行,2
535914114,农业银行,2
535914115,农业银行,2
955993141,农业银行,0
535914116,农业银行,2
955993142,农业银行,0
535914117,农业银行,2
955993143,农业银行,0
535914118,农业银行,2
63491025350,农业银行,2
955993140,农业银行,0
62163120,盱眙珠江村镇银行,0
955975350,农业银行,0
491026241,农业银行,2
955951382,农业银行,0
491026240,农业银行,2
62163121,常宁珠江村镇银行,0
955993145,农业银行,0
955993146,农业银行,0
955987326,农业银行,0
955987327,农业银行,0
622379,齐鲁银行股份有限公司,0
62163108,辉县珠江村镇银行,0
62163107,信阳珠江村镇银行,0
62163102,中山东凤珠江村镇银行,0
955950060,农业银行,0
62163101,鹤山珠江村镇银行,0
621044,宝鸡商行,0
62163104,莱芜珠江村镇银行,0
62163103,大连保税区珠江村镇银行,0
517650,浦发银行,1
622370,泉州银行,0
62163109,新津珠江村镇银行,0
63491024013,农业银行,2
63491024011,农业银行,2
63491024010,农业银行,2
955950061,农业银行,0
955974010,农业银行,0
62163111,彭山珠江村镇银行,0
955950062,农业银行,0
955974011,农业银行,0
955974013,农业银行,0
621038,铁岭银行,0
622369,昆明农联社,0
623698,邮储银行,0
623699,邮储银行,0
601428,交通银行,0
622368,长沙银行股份有限公司,0
621037,龙江银行,0
622367,绵阳市商业银行,0
621036,海南省农村信用社联合社,0
622362,广东省农村信用社联合社,0
621030,北京银行,0
621033,四川省农村信用社联合社,0
622363,珠海华润银行股份有限公司,0
955998093,农业银行,0
955998098,农业银行,0
955998099,农业银行,0
622151653,邮储银行,0
621018106,广东省农村信用社联合社,0
621018107,广东省农村信用社联合社,0
621018108,广东省农村信用社联合社,0
621018109,广东省农村信用社联合社,0
62218852,邮储银行,0
62218861,邮储银行,0
621018112,广东省农村信用社联合社,0
62218864,邮储银行,0
621018110,广东省农村信用社联合社,0
621018111,广东省农村信用社联合社,0
62218873,邮储银行,0
62218870,邮储银行,0
621018147,广东省农村信用社联合社,0
62218879,邮储银行,0
62218877,邮储银行,0
621018136,广东省农村信用社联合社,0
62218882,邮储银行,0
62218887,邮储银行,0
62218888,邮储银行,0
62218885,邮储银行,0
622316499,宁波银行,0
955998016,农业银行,0
955998014,农业银行,0
955998012,农业银行,0
955998023,农业银行,0
955998024,农业银行,0
955998021,农业银行,0
955998022,农业银行,0
955998039,农业银行,0
955998041,农业银行,0
955998042,农业银行,0
955998040,农业银行,0
955998049,农业银行,0
955998047,农业银行,0
955998048,农业银行,0
955998045,农业银行,0
955972113,农业银行,0
955996146,农业银行,0
955972114,农业银行,0
955972115,农业银行,0
955972116,农业银行,0
955996145,农业银行,0
955972117,农业银行,0
955996142,农业银行,0
955972118,农业银行,0
955996143,农业银行,0
955996140,农业银行,0
621356010,中国银行,0
955996141,农业银行,0
621798,邮储银行,0
621797,邮储银行,0
621799,邮储银行,0
955960113,农业银行,0
621793,浦发银行,0
955960115,农业银行,0
621796,浦发银行,0
62168309,安徽宿松民丰村镇银行,0
955960114,农业银行,0
621795,浦发银行,0
62168308,安徽明光民丰村镇银行,0
955960117,农业银行,0
621790,中国银行,0
955982382,农业银行,0
955960116,农业银行,0
62168306,山东梁山民丰村镇银行,0
621792,浦发银行,0
535915140,农业银行,2
955960118,农业银行,0
621791,浦发银行,0
535915141,农业银行,2
535915142,农业银行,2
535915143,农业银行,2
955968079,农业银行,0
535915145,农业银行,2
535915146,农业银行,2
955968075,农业银行,0
955968076,农业银行,0
955593,交通银行,1
955968077,农业银行,0
955592,交通银行,1
955591,交通银行,1
955590,交通银行,1
955968074,农业银行,0
621787,中国银行,0
621786,中国银行,0
621789,中国银行,0
621788,中国银行,0
621785,中国银行,0
545623,招商银行,1
621780,晋中银行,0
955996160,农业银行,0
955996161,农业银行,0
6.25E+11,工商银行,1
491028139,农业银行,2
955996162,农业银行,0
955996163,农业银行,0
63491029162,农业银行,2
62168303,山东肥城民丰村镇银行,0
63491029161,农业银行,2
621779,贵州省农村信用社联合社,0
63491029163,农业银行,2
955959139,农业银行,0
63491029160,农业银行,2
621778,安徽省农村信用社,0
621777,南京银行,0
955956075,农业银行,0
621772,中信银行,0
955956074,农业银行,0
621771,中信银行,0
955956077,农业银行,0
955956076,农业银行,0
621773,中信银行,0
62351501,江苏丹阳保得村镇银行,0
63535919240,农业银行,2
621770,中信银行,0
530985496,工商银行,1
63535919241,农业银行,2
553242,建设银行,1
545619,招商银行,1
955970382,农业银行,0
491025076,农业银行,2
491025077,农业银行,2
491025079,农业银行,2
955969382,农业银行,0
621769,中信银行,0
545620,招商银行,1
621768,中信银行,0
545621,招商银行,1
491025074,农业银行,2
491025075,农业银行,2
955956079,农业银行,0
621767,中信银行,0
621766,昆仑银行股份有限公司,0
955959113,农业银行,0
621760,包商银行,0
955982350,农业银行,0
491028118,农业银行,2
558916,中信银行,1
535915139,农业银行,2
491028116,农业银行,2
491028117,农业银行,2
491028114,农业银行,2
955968060,农业银行,0
491028115,农业银行,2
955968061,农业银行,0
955968062,农业银行,0
685800,广发银行,1
491028113,农业银行,2
621758,中国银行,0
621757,中国银行,0
955959118,农业银行,0
621759,中国银行,0
955959117,农业银行,0
955959116,农业银行,0
621753,信阳银行,0
955959115,农业银行,0
621756,中国银行,0
955959114,农业银行,0
621755,重庆三峡银行,0
622289,宁波鄞州农村合作银行,1
622288,浙江省农村信用社联合社,1
622285,交通银行,2
621393001,梅县客家村镇银行,0
622284,交通银行,2
622286,杭州市商业银行,1
622281,宁波银行,0
622280,建设银行,0
622283,江苏银行,1
622282,宁波银行,1
400360,中信银行,1
628392,江西省农村信用社联合社,1
628395,沧州银行,1
627066,平安银行,0
535912062,农业银行,2
628398,东莞商行,1
627067,平安银行,0
535912061,农业银行,2
627068,平安银行,0
491026382,农业银行,2
535912060,农业银行,2
955993008,农业银行,0
955993009,农业银行,0
955993005,农业银行,0
622278,上海银行,0
483536,平安银行,1
622277,浦发银行,1
622279,上海银行,0
622276,浦发银行,1
622275,南昌银行,0
622270,龙江银行股份有限公司,1
622271,广东南海农村商业银行,0
535915113,农业银行,2
535915114,农业银行,2
535915115,农业银行,2
63535911382,农业银行,2
535915116,农业银行,2
63491024350,农业银行,2
535915117,农业银行,2
955993010,农业银行,0
535915118,农业银行,2
955993011,农业银行,0
955954326,农业银行,0
955954327,农业银行,0
535913382,农业银行,2
955975241,农业银行,0
491025061,农业银行,2
955975240,农业银行,0
491025062,农业银行,2
955993013,农业银行,0
491025060,农业银行,2
622267,上海银行,0
623599,青海银行,0
622266,东亚银行(中国)有限公司,1
622269,上海银行,1
622268,上海银行,1
623598,葫芦岛银行,0
623595,广东南粤银行,0
622265,东亚银行(中国)有限公司,1
955963241,农业银行,0
955963240,农业银行,0
622260,交通银行,0
63535910061,农业银行,2
552742,中国银行,1
63491024382,农业银行,2
63535910060,农业银行,2
63535910062,农业银行,2
621628660,佛山高明顺银村镇银行,0
955994350,农业银行,0
621628661,丰城顺银村镇银行,0
621628662,樟树顺银村镇银行,0
622256,交通银行,2
623588,达州市商业银行,0
622255,交通银行,2
623586,中国银行,0
622258,交通银行,0
622257,交通银行,2
622252,交通银行,1
622254,交通银行,2
623582,河北银行,0
622253,交通银行,1
63535910079,农业银行,2
63535910076,农业银行,2
63535910075,农业银行,2
63535910077,农业银行,2
535912079,农业银行,2
535912077,农业银行,2
63535910074,农业银行,2
535912076,农业银行,2
535912075,农业银行,2
535912074,农业银行,2
9558804100,工商银行,0
623577,本溪市商业银行,0
623575,中国银行,0
622246,工商银行,1
63535910007,农业银行,2
621368001,山东莒南村镇银行,0
955984163,农业银行,0
623574,天津市商业银行,0
955984162,农业银行,0
63535910009,农业银行,2
623571,中国银行,0
955984161,农业银行,0
63535910008,农业银行,2
623572,中国银行,0
63535910005,农业银行,2
63491024327,农业银行,2
63491024326,农业银行,2
621356028,中国银行,0
491025010,农业银行,2
491025011,农业银行,2
535913350,农业银行,2
491025013,农业银行,2
955951241,农业银行,0
955984160,农业银行,0
955951240,农业银行,0
623568,锦州银行股份有限公司,0
623569,中国银行,0
623566,哈密市商业银行,0
622236,工商银行,1
623565,富邦华一银行,0
63535910013,农业银行,2
63535910010,农业银行,2
63535910011,农业银行,2
535912013,农业银行,2
535912011,农业银行,2
535912010,农业银行,2
621356032,中国银行,0
955994382,农业银行,0
491026350,农业银行,2
622228,浦发银行,1
955984146,农业银行,0
623555,南洋商业银行（中国）,0
955984145,农业银行,0
955984143,农业银行,0
623554,天津市商业银行,0
955984142,农业银行,0
623551,友利银行(中国)有限公司,0
955984141,农业银行,0
623552,上海农商银行,0
955984140,农业银行,0
621356042,中国银行,0
63491023013,农业银行,2
491026327,农业银行,2
63535911350,农业银行,2
491026326,农业银行,2
955993060,农业银行,0
621356045,中国银行,0
63491023011,农业银行,2
955993061,农业银行,0
63491023010,农业银行,2
955993062,农业银行,0
955972160,农业银行,0
955972161,农业银行,0
955972162,农业银行,0
955972163,农业银行,0
404738,浦发银行,1
404739,浦发银行,1
622218,重庆农村商业银行,1
63491023005,农业银行,2
621356050,中国银行,0
63491023009,农业银行,2
955984139,农业银行,0
491025008,农业银行,2
63491023008,农业银行,2
491025009,农业银行,2
955993075,农业银行,0
955993076,农业银行,0
491025005,农业银行,2
955993077,农业银行,0
955993074,农业银行,0
622208,工商银行,0
621350755,深圳宝安融兴村镇银行,0
955993079,农业银行,0
623537,宁波通商银行,0
87030,浦发银行,0
9551004053,邮储银行,0
955987076,农业银行,0
62215029,邮储银行,0
9551004054,邮储银行,0
955987077,农业银行,0
9551004051,邮储银行,0
9551004052,邮储银行,0
955987079,农业银行,0
955999062,农业银行,0
9551004057,邮储银行,0
955966139,农业银行,0
955999061,农业银行,0
955999060,农业银行,0
9551004055,邮储银行,0
9551004056,邮储银行,0
9551004050,邮储银行,0
63491027350,农业银行,2
955987074,农业银行,0
628310,邮储银行,1
955987075,农业银行,0
628312,中国银行,1
621350005,桦川融兴村镇银行,0
621350006,应城融兴村镇银行,0
621350007,耒阳融兴村镇银行,0
621350008,重庆市武隆融兴村镇银行,0
628316,建设银行,1
621350001,延寿融兴村镇银行,0
628317,建设银行,1
